date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:22	18687/18687	---M--	200	added ('OK')	image/png	etag:%226235ae12-48ff%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-180x180.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/apple-icon-180x180.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:22	19088/19088	---M--	200	added ('OK')	image/png	etag:%226235ae12-4a90%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/android-icon-192x192.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/android-icon-192x192.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:23	2210/2210	---M--	200	added ('OK')	image/png	etag:%226235ae12-8a2%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-32x32.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-32x32.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:23	7859/7859	---M--	200	added ('OK')	image/png	etag:%226235ae12-1eb3%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-96x96.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-96x96.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:23	1414/1414	---M--	200	added ('OK')	image/png	etag:%226235ae12-586%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-16x16.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/favicon-16x16.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:23	720/720	---M-Z	200	added ('OK')	application/json	etag:W/%226235ae12-2d0%22	https://eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/manifest.json	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/icon/favicon/manifest.json	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:24	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7bc6b3-239b%22	https://eduar2tc.github.io/ms-icon-144x144.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/ms-icon-144x144.png	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:24	6138/6138	---M-Z	200	added ('OK')	text/css	etag:W/%226235ae12-17fa%22	https://eduar2tc.github.io/vaccine-covid/assets/css/normalize.css	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/css/normalize.css	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:24	17656/17656	---M-Z	200	added ('OK')	text/css	etag:W/%226235ae12-44f8%22	https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/css/styles.css	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:25	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:25	432/432	---M-Z	200	added ('OK')	application/javascript	etag:W/%226235ae13-1b0%22	https://eduar2tc.github.io/vaccine-covid/assets/js/main.js	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/js/main.js	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:25	1464905/1464905	---M-Z	200	added ('OK')	application/javascript	etag:%22620188b3-8592f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/js/all.min.js	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/js/all.min.js	(from https://eduar2tc.github.io/vaccine-covid/)
15:08:26	521500/521500	---M--	200	added ('OK')	image/jpeg	etag:%226235ae12-7f51c%22	https://eduar2tc.github.io/vaccine-covid/assets/img/header-md.jpg	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/header-md.jpg	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:26	4709/4709	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226235ae13-1265%22	https://eduar2tc.github.io/vaccine-covid/assets/img/svg/astra.svg	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/svg/astra.svg	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:27	2169/2169	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226235ae13-879%22	https://eduar2tc.github.io/vaccine-covid/assets/img/svg/sinovac.svg	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/svg/sinovac.svg	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:27	2684/2684	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226235ae13-a7c%22	https://eduar2tc.github.io/vaccine-covid/assets/img/svg/pfizer.svg	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/svg/pfizer.svg	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:27	6677/6677	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226235ae13-1a15%22	https://eduar2tc.github.io/vaccine-covid/assets/img/svg/moderna.svg	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/svg/moderna.svg	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:28	1768862/1768862	---M--	200	added ('OK')	image/png	etag:%226235ae13-1afd9e%22	https://eduar2tc.github.io/vaccine-covid/assets/img/woman.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/woman.png	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
15:08:30	1408993/1408993	---M--	200	added ('OK')	image/png	etag:%226235ae12-157fe1%22	https://eduar2tc.github.io/vaccine-covid/assets/img/nurseman0.png	C:/Users/braul/Desktop/practicacss/paginaclon/pruebaCss/eduar2tc.github.io/vaccine-covid/assets/img/nurseman0.png	(from https://eduar2tc.github.io/vaccine-covid/assets/css/styles.css)
